respID,qID,altID,obsID,profileID,price,trip_time,wait_time,shared_ride,human_present
1,1,1,1,43,3,30,7,no,yes
1,1,2,1,94,3,25,7,no,no
1,1,3,1,50,5,25,9,no,yes
1,2,1,2,34,3,30,5,no,yes
1,2,2,2,55,3,20,5,yes,no
1,2,3,2,32,5,25,5,no,yes
1,3,1,3,10,3,20,7,yes,yes
1,3,2,3,5,5,25,5,yes,yes
1,3,3,3,86,5,25,5,no,no
1,4,1,4,54,7,30,9,no,yes
1,4,2,4,78,7,25,9,yes,no
1,4,3,4,53,5,30,9,no,yes
1,5,1,5,77,5,25,9,yes,no
1,5,2,5,56,5,20,5,yes,no
1,5,3,5,29,5,20,5,no,yes
1,6,1,6,12,7,20,7,yes,yes
1,6,2,6,58,3,25,5,yes,no
1,6,3,6,5,5,25,5,yes,yes
1,7,1,7,10,3,20,7,yes,yes
1,7,2,7,92,5,20,7,no,no
1,7,3,7,17,5,30,7,yes,yes
1,8,1,8,39,7,20,7,no,yes
1,8,2,8,50,5,25,9,no,yes
1,8,3,8,61,3,30,5,yes,no
2,1,1,9,22,3,25,9,yes,yes
2,1,2,9,33,7,25,5,no,yes
2,1,3,9,74,5,20,9,yes,no
2,2,1,10,107,5,30,9,no,no
2,2,2,10,4,3,25,5,yes,yes
2,2,3,10,30,7,20,5,no,yes
2,3,1,11,23,5,25,9,yes,yes
2,3,2,11,43,3,30,7,no,yes
2,3,3,11,62,5,30,5,yes,no
2,4,1,12,60,7,25,5,yes,no
2,4,2,12,16,3,30,7,yes,yes
2,4,3,12,21,7,20,9,yes,yes
2,5,1,13,72,7,30,7,yes,no
2,5,2,13,43,3,30,7,no,yes
2,5,3,13,81,7,30,9,yes,no
2,6,1,14,1,3,20,5,yes,yes
2,6,2,14,53,5,30,9,no,yes
2,6,3,14,88,3,30,5,no,no
2,7,1,15,22,3,25,9,yes,yes
2,7,2,15,29,5,20,5,no,yes
2,7,3,15,70,3,30,7,yes,no
2,8,1,16,33,7,25,5,no,yes
2,8,2,16,20,5,20,9,yes,yes
2,8,3,16,100,3,20,9,no,no
3,1,1,17,103,3,25,9,no,no
3,1,2,17,1,3,20,5,yes,yes
3,1,3,17,9,7,30,5,yes,yes
3,2,1,18,50,5,25,9,no,yes
3,2,2,18,14,5,25,7,yes,yes
3,2,3,18,22,3,25,9,yes,yes
3,3,1,19,65,5,20,7,yes,no
3,3,2,19,88,3,30,5,no,no
3,3,3,19,7,3,30,5,yes,yes
3,4,1,20,33,7,25,5,no,yes
3,4,2,20,45,7,30,7,no,yes
3,4,3,20,66,7,20,7,yes,no
3,5,1,21,94,3,25,7,no,no
3,5,2,21,30,7,20,5,no,yes
3,5,3,21,60,7,25,5,yes,no
3,6,1,22,43,3,30,7,no,yes
3,6,2,22,85,3,25,5,no,no
3,6,3,22,31,3,25,5,no,yes
3,7,1,23,73,3,20,9,yes,no
3,7,2,23,95,5,25,7,no,no
3,7,3,23,100,3,20,9,no,no
3,8,1,24,49,3,25,9,no,yes
3,8,2,24,75,7,20,9,yes,no
3,8,3,24,8,5,30,5,yes,yes
4,1,1,25,93,7,20,7,no,no
4,1,2,25,64,3,20,7,yes,no
4,1,3,25,70,3,30,7,yes,no
4,2,1,26,61,3,30,5,yes,no
4,2,2,26,46,3,20,9,no,yes
4,2,3,26,106,3,30,9,no,no
4,3,1,27,35,5,30,5,no,yes
4,3,2,27,78,7,25,9,yes,no
4,3,3,27,107,5,30,9,no,no
4,4,1,28,95,5,25,7,no,no
4,4,2,28,4,3,25,5,yes,yes
4,4,3,28,62,5,30,5,yes,no
4,5,1,29,94,3,25,7,no,no
4,5,2,29,2,5,20,5,yes,yes
4,5,3,29,38,5,20,7,no,yes
4,6,1,30,8,5,30,5,yes,yes
4,6,2,30,21,7,20,9,yes,yes
4,6,3,30,10,3,20,7,yes,yes
4,7,1,31,93,7,20,7,no,no
4,7,2,31,56,5,20,5,yes,no
4,7,3,31,49,3,25,9,no,yes
4,8,1,32,97,3,30,7,no,no
4,8,2,32,23,5,25,9,yes,yes
4,8,3,32,4,3,25,5,yes,yes
5,1,1,33,93,7,20,7,no,no
5,1,2,33,99,7,30,7,no,no
5,1,3,33,39,7,20,7,no,yes
5,2,1,34,101,5,20,9,no,no
5,2,2,34,94,3,25,7,no,no
5,2,3,34,54,7,30,9,no,yes
5,3,1,35,59,5,25,5,yes,no
5,3,2,35,78,7,25,9,yes,no
5,3,3,35,53,5,30,9,no,yes
5,4,1,36,104,5,25,9,no,no
5,4,2,36,45,7,30,7,no,yes
5,4,3,36,63,7,30,5,yes,no
5,5,1,37,52,3,30,9,no,yes
5,5,2,37,32,5,25,5,no,yes
5,5,3,37,45,7,30,7,no,yes
5,6,1,38,74,5,20,9,yes,no
5,6,2,38,106,3,30,9,no,no
5,6,3,38,97,3,30,7,no,no
5,7,1,39,71,5,30,7,yes,no
5,7,2,39,64,3,20,7,yes,no
5,7,3,39,69,7,25,7,yes,no
5,8,1,40,40,3,25,7,no,yes
5,8,2,40,18,7,30,7,yes,yes
5,8,3,40,29,5,20,5,no,yes
6,1,1,41,86,5,25,5,no,no
6,1,2,41,61,3,30,5,yes,no
6,1,3,41,77,5,25,9,yes,no
6,2,1,42,15,7,25,7,yes,yes
6,2,2,42,86,5,25,5,no,no
6,2,3,42,60,7,25,5,yes,no
6,3,1,43,107,5,30,9,no,no
6,3,2,43,6,7,25,5,yes,yes
6,3,3,43,19,3,20,9,yes,yes
6,4,1,44,22,3,25,9,yes,yes
6,4,2,44,58,3,25,5,yes,no
6,4,3,44,37,3,20,7,no,yes
6,5,1,45,46,3,20,9,no,yes
6,5,2,45,73,3,20,9,yes,no
6,5,3,45,12,7,20,7,yes,yes
6,6,1,46,34,3,30,5,no,yes
6,6,2,46,96,7,25,7,no,no
6,6,3,46,84,7,20,5,no,no
6,7,1,47,104,5,25,9,no,no
6,7,2,47,34,3,30,5,no,yes
6,7,3,47,96,7,25,7,no,no
6,8,1,48,10,3,20,7,yes,yes
6,8,2,48,15,7,25,7,yes,yes
6,8,3,48,89,5,30,5,no,no
7,1,1,49,61,3,30,5,yes,no
7,1,2,49,80,5,30,9,yes,no
7,1,3,49,98,5,30,7,no,no
7,2,1,50,38,5,20,7,no,yes
7,2,2,50,69,7,25,7,yes,no
7,2,3,50,31,3,25,5,no,yes
7,3,1,51,59,5,25,5,yes,no
7,3,2,51,61,3,30,5,yes,no
7,3,3,51,20,5,20,9,yes,yes
7,4,1,52,84,7,20,5,no,no
7,4,2,52,83,5,20,5,no,no
7,4,3,52,50,5,25,9,no,yes
7,5,1,53,75,7,20,9,yes,no
7,5,2,53,6,7,25,5,yes,yes
7,5,3,53,27,7,30,9,yes,yes
7,6,1,54,57,7,20,5,yes,no
7,6,2,54,71,5,30,7,yes,no
7,6,3,54,104,5,25,9,no,no
7,7,1,55,97,3,30,7,no,no
7,7,2,55,73,3,20,9,yes,no
7,7,3,55,32,5,25,5,no,yes
7,8,1,56,7,3,30,5,yes,yes
7,8,2,56,93,7,20,7,no,no
7,8,3,56,98,5,30,7,no,no
8,1,1,57,47,5,20,9,no,yes
8,1,2,57,7,3,30,5,yes,yes
8,1,3,57,96,7,25,7,no,no
8,2,1,58,44,5,30,7,no,yes
8,2,2,58,34,3,30,5,no,yes
8,2,3,58,37,3,20,7,no,yes
8,3,1,59,4,3,25,5,yes,yes
8,3,2,59,63,7,30,5,yes,no
8,3,3,59,26,5,30,9,yes,yes
8,4,1,60,36,7,30,5,no,yes
8,4,2,60,99,7,30,7,no,no
8,4,3,60,2,5,20,5,yes,yes
8,5,1,61,100,3,20,9,no,no
8,5,2,61,23,5,25,9,yes,yes
8,5,3,61,76,3,25,9,yes,no
8,6,1,62,105,7,25,9,no,no
8,6,2,62,106,3,30,9,no,no
8,6,3,62,102,7,20,9,no,no
8,7,1,63,13,3,25,7,yes,yes
8,7,2,63,29,5,20,5,no,yes
8,7,3,63,68,5,25,7,yes,no
8,8,1,64,47,5,20,9,no,yes
8,8,2,64,20,5,20,9,yes,yes
8,8,3,64,96,7,25,7,no,no
9,1,1,65,40,3,25,7,no,yes
9,1,2,65,14,5,25,7,yes,yes
9,1,3,65,32,5,25,5,no,yes
9,2,1,66,20,5,20,9,yes,yes
9,2,2,66,24,7,25,9,yes,yes
9,2,3,66,105,7,25,9,no,no
9,3,1,67,37,3,20,7,no,yes
9,3,2,67,35,5,30,5,no,yes
9,3,3,67,103,3,25,9,no,no
9,4,1,68,8,5,30,5,yes,yes
9,4,2,68,107,5,30,9,no,no
9,4,3,68,35,5,30,5,no,yes
9,5,1,69,87,7,25,5,no,no
9,5,2,69,39,7,20,7,no,yes
9,5,3,69,5,5,25,5,yes,yes
9,6,1,70,5,5,25,5,yes,yes
9,6,2,70,102,7,20,9,no,no
9,6,3,70,35,5,30,5,no,yes
9,7,1,71,8,5,30,5,yes,yes
9,7,2,71,86,5,25,5,no,no
9,7,3,71,39,7,20,7,no,yes
9,8,1,72,99,7,30,7,no,no
9,8,2,72,101,5,20,9,no,no
9,8,3,72,25,3,30,9,yes,yes
10,1,1,73,106,3,30,9,no,no
10,1,2,73,83,5,20,5,no,no
10,1,3,73,35,5,30,5,no,yes
10,2,1,74,104,5,25,9,no,no
10,2,2,74,85,3,25,5,no,no
10,2,3,74,80,5,30,9,yes,no
10,3,1,75,11,5,20,7,yes,yes
10,3,2,75,25,3,30,9,yes,yes
10,3,3,75,80,5,30,9,yes,no
10,4,1,76,108,7,30,9,no,no
10,4,2,76,18,7,30,7,yes,yes
10,4,3,76,89,5,30,5,no,no
10,5,1,77,59,5,25,5,yes,no
10,5,2,77,108,7,30,9,no,no
10,5,3,77,51,7,25,9,no,yes
10,6,1,78,65,5,20,7,yes,no
10,6,2,78,24,7,25,9,yes,yes
10,6,3,78,14,5,25,7,yes,yes
10,7,1,79,48,7,20,9,no,yes
10,7,2,79,41,5,25,7,no,yes
10,7,3,79,76,3,25,9,yes,no
10,8,1,80,83,5,20,5,no,no
10,8,2,80,82,3,20,5,no,no
10,8,3,80,65,5,20,7,yes,no
11,1,1,81,16,3,30,7,yes,yes
11,1,2,81,79,3,30,9,yes,no
11,1,3,81,38,5,20,7,no,yes
11,2,1,82,87,7,25,5,no,no
11,2,2,82,2,5,20,5,yes,yes
11,2,3,82,61,3,30,5,yes,no
11,3,1,83,33,7,25,5,no,yes
11,3,2,83,100,3,20,9,no,no
11,3,3,83,83,5,20,5,no,no
11,4,1,84,29,5,20,5,no,yes
11,4,2,84,41,5,25,7,no,yes
11,4,3,84,63,7,30,5,yes,no
11,5,1,85,41,5,25,7,no,yes
11,5,2,85,61,3,30,5,yes,no
11,5,3,85,54,7,30,9,no,yes
11,6,1,86,5,5,25,5,yes,yes
11,6,2,86,16,3,30,7,yes,yes
11,6,3,86,94,3,25,7,no,no
11,7,1,87,6,7,25,5,yes,yes
11,7,2,87,26,5,30,9,yes,yes
11,7,3,87,96,7,25,7,no,no
11,8,1,88,36,7,30,5,no,yes
11,8,2,88,103,3,25,9,no,no
11,8,3,88,18,7,30,7,yes,yes
12,1,1,89,4,3,25,5,yes,yes
12,1,2,89,79,3,30,9,yes,no
12,1,3,89,96,7,25,7,no,no
12,2,1,90,92,5,20,7,no,no
12,2,2,90,83,5,20,5,no,no
12,2,3,90,39,7,20,7,no,yes
12,3,1,91,83,5,20,5,no,no
12,3,2,91,94,3,25,7,no,no
12,3,3,91,12,7,20,7,yes,yes
12,4,1,92,48,7,20,9,no,yes
12,4,2,92,50,5,25,9,no,yes
12,4,3,92,18,7,30,7,yes,yes
12,5,1,93,55,3,20,5,yes,no
12,5,2,93,102,7,20,9,no,no
12,5,3,93,4,3,25,5,yes,yes
12,6,1,94,71,5,30,7,yes,no
12,6,2,94,93,7,20,7,no,no
12,6,3,94,74,5,20,9,yes,no
12,7,1,95,46,3,20,9,no,yes
12,7,2,95,85,3,25,5,no,no
12,7,3,95,81,7,30,9,yes,no
12,8,1,96,71,5,30,7,yes,no
12,8,2,96,97,3,30,7,no,no
12,8,3,96,40,3,25,7,no,yes
13,1,1,97,68,5,25,7,yes,no
13,1,2,97,38,5,20,7,no,yes
13,1,3,97,82,3,20,5,no,no
13,2,1,98,4,3,25,5,yes,yes
13,2,2,98,34,3,30,5,no,yes
13,2,3,98,93,7,20,7,no,no
13,3,1,99,17,5,30,7,yes,yes
13,3,2,99,80,5,30,9,yes,no
